frase,situacao
"estou com dor no peito intensa e falta de ar desde cedo",alto risco
"tenho aperto no torax com suor frio e nausea",alto risco
"meu coracao esta acelerado e senti tontura no trabalho",alto risco
"desmaiei apos uma dor forte no peito e mal-estar",alto risco
"sinto falta de ar e cansaco extremo ao subir poucos degraus",alto risco
"estou com queimação no peito irradiando para a mandibula",alto risco
"tive palpitações e quase perdi a consciencia hoje",alto risco
"estou com dor toracica prolongada e suor frio",alto risco
"sinto desconforto no peito e dificuldade para respirar",alto risco
"minha pressao subiu e estou com dor no peito desde ontem",alto risco
"estou com aperto no peito e dor no braco esquerdo",alto risco
"senti dor toracica forte durante a madrugada com falta de ar",alto risco
"meu peito esta pesado, estou suando frio e com nausea",alto risco
"tive palpitacoes intensas, tontura e visao escura",alto risco
"estou com dor no peito ao fazer esforco e muita falta de ar",alto risco
"desmaio recente com batimentos irregulares e fraqueza",alto risco
"tive um leve incomodo nas costas depois de carregar peso",baixo risco
"estou com cansaco leve apos um dia corrido de trabalho",baixo risco
"senti uma dor muscular no ombro depois do treino",baixo risco
"estou com dor de cabeca passageira mas consigo trabalhar normalmente",baixo risco
"fiquei um pouco cansado depois de caminhar no sol",baixo risco
"tenho azia leve depois do almoco e melhora com agua",baixo risco
"estou com desconforto pequeno no pescoco desde ontem",baixo risco
"senti tontura leve por nao ter me alimentado direito",baixo risco
"estou com mal-estar leve e melhora apos descanso",baixo risco
"tive fadiga discreta depois de dormir pouco esta semana",baixo risco
"meu braco esta dolorido por causa da academia",baixo risco
"sinto tensao no pescoco por ficar muito tempo no computador",baixo risco
"estou com cansaco leve, mas sem dor e sem falta de ar",baixo risco
"tive uma queimação no estomago apos comer rapido",baixo risco
"senti dor lombar depois de arrumar a casa",baixo risco
"estou com dor de cabeca leve por causa de estresse",baixo risco
